0,0,None
1,1000,SA Operating Account
2,1001,SA Payroll
3,1002,OCCT Payroll Account
4,1005,Cash-Checking CHANCE - SGOC
5,1006,Cash-Checking M&T - SGOC
6,1009,JP Morgan MMA
7,4000,Black Dance Repertoire
8,4010,Student Psychological Association
9,4020,Animation Club
10,4030,Binghamton Crosbys
11,4040,Black Student Union
12,4050,Mock Trial Club
13,4060,American Society of Mechanical Engineering
14,4100,Harpur Harpeggios
15,4110,Binghamton Sitting Club
16,4160,Harpur's Ferry Student Volunteer Ambulance
17,4170,SEEK (High Hopes Crisis Intervention)
18,4180,Binghamton Unscripted
19,4200,Circle K
20,4210,ESCAPE Bus Company
21,4220,Latin American Student Union
22,4240,Experimental Media Organization
23,4250,Ballroom Dance Association
24,4260,Explorchestra
25,4270,Pipe Dream
26,4280,Campus Pre School
27,4290,Pre-Medical Association
28,4300,Hillel-Jewish Student Union
29,4320,Candid Photography Club
30,4330,Fashion Industry Club
31,4340,Rhythm Method
32,4360,Hindu Student Council
33,4370,Harpur Jazz Project
34,4390,National Association of Black Accountants
35,4430,Rotaract
36,4440,Piano Society
37,4450,Equality Project (The)
38,4470,Harpur Radio Workshop (WHRW)
39,4490,Women's Student Union
40,4500,FX Trading Club
41,4530,College In The Woods Council
42,4540,Hinman College Council
43,4550,Newing College Council
44,4560,Off Campus College Community (OC3)
45,4570,New York Public Interest Research Group
46,4575,One World
47,4590,Dickinson Town Council
48,4600,Undergraduate Anthropology Organization
49,4610,Rainbow Pride Union
50,4620,Hellenic Cultural Society
51,4640,"Psi Chi, National Honor Society"
52,4650,Art Co-op
53,4660,African Student Organization
54,4675,Alzheimer's Foundation of America On Campus
55,4680,Pre-Optometry Association
56,4700,Caribbean Student Association
57,4710,Cosplay Club
58,4715,Helping Chintsa
59,4720,Pakistani Students Association
60,4725,Pappy Parker Players
61,4730,OCC Transport
62,4740,Partners in Health
63,4750,Nursing Students Association
64,4760,Student Volunteer Center
65,4765,History Club
66,4770,Campus Survival Games
67,4780,Hong Kong Exchange Square
68,4790,Powerful United Ladies Striving to Elevate
69,4800,Muslim Student Association
70,4810,Binghamton Television
71,4820,SUNY Kids
72,4830,Pre-Physician Assistant Society
73,4850,Han Perspective
74,4870,"Women Empowered Support, Protect, Educate, Advocate and Know"
75,4910,SHINE
76,4920,Students of Urban Planning
77,4930,Binghamton Transfer Student Association
78,4960,Heart to Heart International
79,4970,Breakdance Squad
80,5010,German Club
81,5015,Get Reel Fishing Club
82,5020,Human Development Association
83,5050,Society for Human Resource Management
84,5060,Bhangra
85,5065,Billiards Club
86,5090,Undergraduate Chemical Society
87,5100,Korean Undergraduate Student Association
88,5120,Ninjas Anonymous
89,5140,MASTI
90,5150,PERMIAS at the State University of New York at Binghamton
91,5180,Nutrition and Fitness Club
92,5190,"Blacks, Latinos, Asians, & Caucasians Keeping Unity"
93,5200,Media Group
94,5210,Diverse Cultural Excellence
